사번,이름,성별,나이,근속기간,입사년도,직급,팀구분,퇴직구분,초과근무,성과점수,미사용.휴가일수,연봉,사번_masked
4006,Employee_0000,남,39,19,2015,사원,인사,No,213,42,14,66002987,EID-****-006
3337,Employee_0001,여,33,17,2012,사원,총무,No,324,49,9,58479133,EID-****-337
2543,Employee_0002,남,46,27,2013,사원,기획,No,192,40,22,46179481,EID-****-543
3999,Employee_0003,남,39,19,2015,사원,영업,No,20,51,14,61002987,EID-****-999
1365,Employee_0004,남,32,13,2011,주임,마켓팅,Yes,201,32,22,83001494,EID-****-365
1291,Employee_0005,남,36,18,2010,주임,재무,Yes,283,71,10,96316633,EID-****-291
5531,Employee_0006,여,28,13,2015,사원,법무,No,1,33,16,57572709,EID-****-531
2767,Employee_0007,여,45,30,2014,사원,인사,No,152,64,9,58987050,EID-****-767
2815,Employee_0008,남,41,24,2016,사원,총무,No,241,38,13,50860557,EID-****-815
2884,Employee_0009,여,44,29,2014,인턴,기획,No,153,41,4,32558265,EID-****-884
4010,Employee_0010,남,46,23,2015,사원,영업,No,194,31,12,61004481,EID-****-010
1196,Employee_0011,남,29,17,2016,사원,마켓팅,No,54,40,16,76002987,EID-****-196
4785,Employee_0012,남,26,11,2016,사원,영업,No,158,26,13,69428785,EID-****-785
4573,Employee_0013,남,33,14,2012,인턴,개발,No,193,38,8,29430278,EID-****-573
4937,Employee_0014,여,41,23,2015,사원,재무,No,205,25,10,67271911,EID-****-937
5269,Employee_0015,남,42,25,2013,주임,법무,No,13,45,14,93914341,EID-****-269
4132,Employee_0016,남,41,23,2016,주임,인사,No,101,41,12,90860557,EID-****-132
5341,Employee_0017,남,47,27,2015,주임,총무,No,57,47,8,92433265,EID-****-341
4120,Employee_0018,남,36,13,2016,대리,기획,No,48,26,21,98716633,EID-****-120
372,Employee_0019,여,35,18,2011,사원,마켓팅,No,62,76,9,58374202,EID-****
1859,Employee_0020,여,39,22,2011,사원,재무,No,20,54,13,70464341,EID-****-859
3064,Employee_0021,남,40,21,2014,인턴,법무,No,153,52,4,31556772,EID-****-064
4917,Employee_0022,여,47,28,2015,주임,인사,No,31,43,2,84719620,EID-****-917
3014,Employee_0023,남,31,12,2014,과장,총무,Yes,191,34,7,126572709,EID-****-014
4705,Employee_0024,남,31,20,2014,대리,영업,No,382,84,16,115385557,EID-****-705
3146,Employee_0025,남,40,28,2014,대리,기획,No,52,49,13,101844620,EID-****-146
154,Employee_0026,남,42,21,2011,사원,영업,No,205,46,3,72914341,EID-****
1906,Employee_0027,남,42,22,2011,대리,마켓팅,No,8,63,11,101808091,EID-****-906
3027,Employee_0028,남,38,24,2014,사원,재무,No,29,29,12,63699202,EID-****-027
3323,Employee_0029,남,43,23,2014,사원,영업,No,153,45,10,63843126,EID-****-323
3893,Employee_0030,남,37,18,2016,주임,법무,No,54,32,10,95145417,EID-****-893
1342,Employee_0031,여,36,29,2011,대리,인사,No,95,45,12,111965835,EID-****-342
2953,Employee_0032,여,36,23,2014,사원,총무,No,152,38,13,43127987,EID-****-953
3256,Employee_0033,남,40,19,2014,사원,기획,No,202,26,31,60194272,EID-****-256
4652,Employee_0034,남,28,9,2013,사원,마켓팅,No,241,58,19,39136354,EID-****-652
4484,Employee_0035,남,36,15,2012,사원,재무,No,176,47,11,65722883,EID-****-484
4859,Employee_0036,남,33,14,2011,대리,법무,No,303,42,9,108630278,EID-****-859
3770,Employee_0037,남,45,22,2015,사원,인사,No,78,44,4,74575696,EID-****-770
2466,Employee_0038,남,44,25,2013,과장,총무,No,129,52,10,128271911,EID-****-466
